date,ticker,portfolio_weight,benchmark_weight,active_weight,side
2026-05-20,TSLA,0.02072514116477001,0.03390868006114451,-0.0131835388963745,UW
2026-05-20,WMT,0.014776146738157867,0.022568178378658498,-0.007792031640500631,UW
2026-05-20,INTC,0.00693019637396235,0.012937009667490717,-0.006006813293528366,UW
2026-05-20,JNJ,0.007481288683880532,0.011944491060703938,-0.004463202376823406,UW
2026-05-20,META,0.029129367105333245,0.03323326064480874,-0.004103893539475496,UW
2026-05-20,ABBV,0.004549557665165298,0.008116075765087306,-0.0035665180999220085,UW
2026-05-20,XOM,0.010823362550674865,0.014016283208539135,-0.00319292065786427,UW
2026-05-20,LIN,0.0018911484046588395,0.005071151310000579,-0.00318000290534174,UW
2026-05-20,UNH,0.004540440571843647,0.007531893714325331,-0.0029914531424816843,UW
2026-05-20,CAT,0.0057546839030431125,0.00869605223201642,-0.0029413683289733067,UW
2026-05-20,GOOGL,0.09864798551879761,0.10144775097978073,-0.0027997654609831224,UW
2026-05-20,HD,0.004439658164318323,0.0066935318037973065,-0.0022538736394789836,UW
2026-05-20,COST,0.008081009152270294,0.010310073646507205,-0.002229064494236911,UW
2026-05-20,WFC,0.002965597845727546,0.005019786760527316,-0.0020541889147997696,UW
2026-05-20,AAPL,0.09413128533744043,0.09605509313938232,-0.0019238078019418875,UW
2026-05-20,ORCL,0.009868861937084526,0.011709372095901586,-0.0018405101588170603,UW
2026-05-20,V,0.012081538919191287,0.013814993648159692,-0.0017334547289684053,UW
2026-05-20,UNP,0.0018109734549869188,0.00341461809308065,-0.001603644638093731,UW
2026-05-20,TMUS,0.0029455061285023057,0.004452860255024943,-0.0015073541265226377,UW
2026-05-20,GLW,0.0018717816532230916,0.0033584992458072557,-0.001486717592584164,UW
2026-05-20,BAC,0.006412292039450808,0.0078665548112953,-0.0014542627718444915,UW
2026-05-20,MCD,0.0028878648243908377,0.004308784029294261,-0.0014209192049034233,UW
2026-05-20,MSFT,0.06632396817920415,0.06767866137003492,-0.0013546931908307719,UW
2026-05-20,AMZN,0.06043652129629331,0.06168340385665397,-0.0012468825603606584,UW
2026-05-20,PANW,0.003178400690561431,0.004355112305360622,-0.0011767116147991907,UW
2026-05-20,TER,2.2699915439090208e-05,0.0011663509955803792,-0.001143651080141289,UW
2026-05-20,GS,0.0054092420764749885,0.006514627207920448,-0.001105385131445459,UW
2026-05-20,CSCO,0.008824355383995864,0.009752163217827122,-0.0009278078338312585,UW
2026-05-20,LRCX,0.006989835690622603,0.007903792005724703,-0.0009139563151021003,UW
2026-05-20,PLD,0.00217768290281672,0.0029914782428804854,-0.0008137953400637653,UW
2026-05-20,FCX,0.0011167546026902106,0.0018933883449808126,-0.0007766337422906019,UW
2026-05-20,ETN,0.0024700292741029594,0.0031901199909262702,-0.0007200907168233108,UW
2026-05-20,NEE,0.003271576186249538,0.003982912387023792,-0.0007113362007742543,UW
2026-05-20,MPWR,0.0009924710948347045,0.0016512171489832552,-0.0006587460541485506,UW
2026-05-20,LMT,0.0019581195295734085,0.0026071279362091596,-0.0006490084066357511,UW
2026-05-20,REGN,0.0008888138390969097,0.0014739625443494608,-0.0005851487052525511,UW
2026-05-20,MPC,0.0010632579877671556,0.0016320788668975686,-0.000568820879130413,UW
2026-05-20,AMT,0.0013147319392550953,0.0018550761933357816,-0.0005403442540806863,UW
2026-05-20,HON,0.002448960293365779,0.0029805856392430205,-0.0005316253458772413,UW
2026-05-20,FN,9.554611998434716e-06,0.0005133929160625187,-0.000503838304064084,UW
2026-05-20,JPM,0.01705802694204276,0.017508311904806617,-0.00045028496276385693,UW
2026-05-20,EQIX,0.0018397550747357035,0.0022728368888125057,-0.00043308181407680215,UW
2026-05-20,NFLX,0.007850237946915917,0.008026043710700254,-0.00017580576378433722,UW
2026-05-20,BLK,0.0035658445129314463,0.003721713217775415,-0.00015586870484396876,UW
2026-05-20,LNG,0.0010222938477423098,0.0011048065721291848,-8.2512724386875e-05,UW
2026-05-20,SPGI,0.002663213892320622,0.002735811325680204,-7.259743335958193e-05,UW
