feature,group,mean_importance,latest_importance,model_count,mean_ic,ic_hit_rate,target_payoff,sample_count,helped_returns
oper_margin_chg_252d,Accounting,0.03509387505723513,0.03468709351062292,32,0.04871199155798531,0.6344086021505376,0.001495975052173495,93,Yes
oper_margin_chg_21d,Accounting,0.03500877797475566,0.032230091053620465,32,0.04484178801679559,0.6236559139784946,0.004919883304219661,93,Yes
best_eps_chg_vol,Accounting,0.034353315469622864,0.031362913715854895,32,0.0019893758615042055,0.5161290322580645,0.002208454573203823,93,Yes
ma_cross_50_200,Price,0.032196018524790516,0.02312472900708195,32,-0.026998099940390242,0.5053763440860215,0.0016638058573603066,93,No
regime_avg_rec,Conditioning,0.030775790167454624,0.02529267235149588,32,,,0.0,0,No
fwd_eps_chg_252d,Accounting,0.0300018205698702,0.023991906344847522,32,-0.002661260287897479,0.4946236559139785,0.003375672959074618,93,No
size_rank,Conditioning,0.029898419535299425,0.03309726839138604,32,-0.0051106123509784334,0.45161290322580644,-0.001286749953508307,93,No
tg_mom_252d,Sellside,0.02984437694403229,0.03353085706026882,32,-0.01944631953939625,0.5161290322580645,0.0016224933365233767,93,No
capex_intensity_z,Accounting,0.02969807446806128,0.03468709351062292,32,-0.006490805710941386,0.4838709677419355,-0.0007123086519262924,93,No
realized_vol_126d,Price,0.028118620940653934,0.026882497470732764,32,-0.012700620224694367,0.4838709677419355,0.000860028426953875,93,No
ma_cross_21_50,Price,0.028059183172469405,0.03121838415956063,32,-0.01853420870528647,0.4731182795698925,-0.00038025704507139394,93,No
best_capex_chg_vol,Accounting,0.024302853427705023,0.03150744327214915,32,0.01339533768299893,0.5268817204301075,0.00026385922903499114,93,Yes
best_calculated_fcf_chg_vol,Accounting,0.024186731342079354,0.03309726839138604,32,-0.005550507328259428,0.4731182795698925,-0.00224110677104555,93,No
cash_conversion_z,Accounting,0.02415884634378736,0.01806619453678277,32,0.03217774177101681,0.5913978494623656,0.0017921842118352887,93,Yes
regime_avg_vol_63d,Conditioning,0.024064939732183845,0.013730307847954907,32,,,0.0,0,No
beta_63d,Price,0.02380211250645331,0.025003613238907357,32,-0.03890884611797339,0.3655913978494624,-0.0013654487654898232,93,No
best_roe_chg_vol,Accounting,0.023454533002223995,0.01806619453678277,32,0.0005828816907615295,0.5161290322580645,0.001096706084245765,93,Yes
analyst_rec_rank,Sellside,0.022496637547750095,0.01806619453678277,32,0.010258832732942334,0.5268817204301075,-0.0002332742088548615,93,No
best_sales_chg_vol,Accounting,0.022457534812893854,0.014163896516837693,32,-0.015863365624649968,0.40860215053763443,0.001578293667168333,93,No
oper_margin_chg_63d,Accounting,0.021110298672668403,0.01806619453678277,32,0.04103899718560564,0.6666666666666666,0.0029225157297847883,93,Yes
earn_cycle_pos,Conditioning,0.020913970771248055,0.01676542853013441,32,0.0038148388413906486,0.5268817204301075,0.0011201060903680427,93,Yes
best_ev_to_best_ebitda_vol,Accounting,0.020409690054178472,0.018210724093077033,32,-0.009655348262074577,0.45161290322580644,-0.0008762011681455303,93,No
analyst_rec_vs_median,Sellside,0.019952097397404323,0.02587079057667293,32,0.010819431875759587,0.5591397849462365,0.0006020852155932523,93,Yes
analyst_rec_level,Sellside,0.01969803055897096,0.02066772655007949,32,0.010258832732942334,0.5268817204301075,-0.0005862398744762424,93,No
oper_margin_chg_vol,Accounting,0.01936509470295558,0.019800549212313917,32,0.00574059452719773,0.5698924731182796,0.0004534283080196835,93,Yes
dist_52w_low,Price,0.01902879564795636,0.0225466107819049,32,-0.0452708182470007,0.44086021505376344,0.0010725224741465792,93,No
sales_rev_time_low,Sellside,0.018958821144476688,0.02702702702702703,32,-0.019960430606528207,0.43820224719101125,-0.0006003022539904295,89,No
max_ret_63d,Price,0.018954224396499374,0.03121838415956063,32,-0.01520919692223491,0.4838709677419355,0.000453673185634881,93,No
best_peg_ratio_level_z,Accounting,0.01873028748518642,0.01849978320566556,32,-0.051376086257570244,0.43010752688172044,-0.0033566110664592806,93,No
tg_conviction,Sellside,0.017874833020146166,0.013730307847954907,32,-0.0045563280204023275,0.5161290322580645,0.0009125396820411095,93,No
best_px_bps_ratio_level_z,Accounting,0.017720272896927184,0.021534903887845066,32,-0.022395870833930572,0.45161290322580644,-0.00014636174226272775,93,No
idio_vol_63d,Price,0.01735383918018133,0.015175603410897529,32,0.010877277114845561,0.5591397849462365,0.0027243209608910066,93,Yes
analyst_rec_stability,Sellside,0.017318616329842714,0.01806619453678277,32,-0.010968043295769803,0.44086021505376344,-0.0003739063862509729,93,No
eps_rev_time_high,Sellside,0.016266990846136944,0.020234137881196705,32,0.0050928630065096275,0.5268817204301075,0.001029438980936286,93,Yes
sales_rev_vol,Sellside,0.015172849708380332,0.01734354675531146,32,-0.030494621526095382,0.40860215053763443,-0.0025423823828563175,93,No
min_ret_63d,Price,0.014949630437722433,0.017632605867899987,32,-0.0030467174218986636,0.5161290322580645,-0.00200650290040427,93,No
eps_rev_vol,Sellside,0.014934723941791468,0.015464662523486054,32,-0.016666816290351372,0.4731182795698925,-0.0011101401489822735,93,No
op_leverage_63d,Accounting,0.014862166139537072,0.01459748518572048,32,0.03940909752417502,0.6344086021505376,0.0021078135057575643,93,Yes
oper_margin_accel,Accounting,0.013618535943683752,0.01864431276195982,32,-0.010012690115316343,0.43010752688172044,-0.00032730775684294025,93,No
range_position_52w,Price,0.013597912792376652,0.011128775834658187,32,-0.045742910559409905,0.45161290322580644,-0.001863478435984335,93,No
downside_vol_63d,Price,0.013092063275164713,0.0171990171990172,32,-0.0007800783408074294,0.4838709677419355,0.0017399180100228131,93,No
sales_rev_ma_10d,Sellside,0.011565555172792674,0.01676542853013441,32,0.003680924957655191,0.5053763440860215,0.00033903751658050335,93,Yes
regime_mkt_ret_63d,Conditioning,0.01142082665615276,0.00867177337765573,32,,,0.0,0,No
eps_rev_ma_10d,Sellside,0.011418131961898899,0.009683480271715566,32,0.00900057875371075,0.5053763440860215,0.00018118957319382617,93,Yes
roe_pe_z,Accounting,0.011349428654278996,0.010406128053186877,32,0.05627940164058078,0.5806451612903226,0.0038288514551807454,93,Yes
best_pe_ratio_level_z,Accounting,0.010903345628416763,0.011706894059835236,32,-0.06510170103668857,0.3655913978494624,-0.004234013749690285,93,No
regime_rev_breadth_eps,Conditioning,0.008013396411521828,0.009538950715421303,32,,,0.0,0,No
fin_eps_chg_252d,Financials,0.004299601155227671,0.0005781182251770487,32,0.0011443447795991897,0.4946236559139785,0.0004854451873205945,93,Yes
fin_roe_level_z,Financials,0.004275098049290753,0.0021679433444139326,32,0.013117264782209613,0.4731182795698925,0.00044990353161090344,93,Yes
fin_sales_chg_252d,Financials,0.002014424624501193,0.0011562364503540975,32,0.0026444801285077746,0.4838709677419355,0.00031625798277550813,93,Yes
fin_roe_chg_63d,Financials,0.0017614624976296561,0.0004335886688827865,32,-0.003294063635368855,0.4731182795698925,0.0002505871055708569,93,No
fin_pe_level_z,Financials,0.0015224270733132656,0.0005781182251770487,32,-0.036532534824760377,0.3548387096774194,-0.0025140452252152877,93,No
fin_pb_level_z,Financials,0.0015066054438420153,0.0030351206821795057,32,-0.016498416505392296,0.4731182795698925,-0.001065434074334804,93,No
fin_roe_pb_gap,Financials,0.0010594337603489243,0.0011562364503540975,32,0.01089998026383449,0.5161290322580645,0.0007342444193072521,93,Yes
fin_roe_chg_252d,Financials,0.0010089237051098237,0.0014452955629426219,32,-0.007013019683523461,0.4946236559139785,5.606490352856123e-05,93,No
fin_roe_pe_gap,Financials,0.0009246459281796452,0.0004335886688827865,32,0.03446765735876734,0.6129032258064516,0.0020769204527188324,93,Yes
fin_pb_chg_63d,Financials,0.0006155849380766258,0.000867177337765573,32,0.0023170902910988733,0.5053763440860215,0.00015870895892422117,93,Yes
fin_pe_chg_63d,Financials,0.00048490145666093843,0.00014452955629426219,32,0.0031127355415839835,0.5053763440860215,-0.0006958530054660358,93,No
