date,panel_date,Ticker,Active Weight,Prediction Score,Rank,Feature,Group,Feature Score
2018-11-27,2018-11-27,BE,0.0057266193556414,3.582140441699377,1,best_ev_to_best_ebitda_vol,Accounting,5.0
2018-11-27,2018-11-27,BE,0.0057266193556414,3.582140441699377,2,best_roe_chg_vol,Accounting,5.0
2018-11-27,2018-11-27,BE,0.0057266193556414,3.582140441699377,3,realized_vol_126d,Price,5.0
2018-11-27,2018-11-27,BE,0.0057266193556414,3.582140441699377,4,tg_conviction,Sellside,5.0
2018-11-27,2018-11-27,BE,0.0057266193556414,3.582140441699377,5,idio_vol_63d,Price,4.936955451965332
2018-11-27,2018-11-27,BE,0.0057266193556414,3.582140441699377,6,regime_avg_rec,Conditioning,4.2456769943237305
2018-11-27,2018-11-27,BE,0.0057266193556414,3.582140441699377,7,downside_vol_63d,Price,3.408545970916748
2018-11-27,2018-11-27,BE,0.0057266193556414,3.582140441699377,8,best_eps_chg_vol,Accounting,2.479607582092285
2018-11-27,2018-11-27,FN,0.0041876483354303,2.6133923668691907,1,dist_52w_low,Price,4.373114585876465
2018-11-27,2018-11-27,FN,0.0041876483354303,2.6133923668691907,2,regime_avg_rec,Conditioning,4.2456769943237305
2018-11-27,2018-11-27,FN,0.0041876483354303,2.6133923668691907,3,sales_rev_ma_10d,Sellside,2.264465570449829
2018-11-27,2018-11-27,FN,0.0041876483354303,2.6133923668691907,4,max_ret_63d,Price,2.0257632732391357
2018-11-27,2018-11-27,FN,0.0041876483354303,2.6133923668691907,5,ma_cross_50_200,Price,1.8836363554000854
2018-11-27,2018-11-27,FN,0.0041876483354303,2.6133923668691907,6,eps_rev_time_high,Sellside,1.729584813117981
2018-11-27,2018-11-27,FN,0.0041876483354303,2.6133923668691907,7,range_position_52w,Price,1.6696971654891968
2018-11-27,2018-11-27,FN,0.0041876483354303,2.6133923668691907,8,analyst_rec_stability,Sellside,1.5488113164901733
2018-11-27,2018-11-27,LNG,0.0040532186464983,2.5496738312102325,1,fwd_eps_chg_252d,Accounting,5.0
2018-11-27,2018-11-27,LNG,0.0040532186464983,2.5496738312102325,2,regime_avg_rec,Conditioning,4.2456769943237305
2018-11-27,2018-11-27,LNG,0.0040532186464983,2.5496738312102325,3,best_capex_chg_vol,Accounting,1.6800456047058105
2018-11-27,2018-11-27,LNG,0.0040532186464983,2.5496738312102325,4,capex_intensity_z,Accounting,1.508675217628479
2018-11-27,2018-11-27,LNG,0.0040532186464983,2.5496738312102325,5,sales_rev_ma_10d,Sellside,1.326327919960022
2018-11-27,2018-11-27,LNG,0.0040532186464983,2.5496738312102325,6,analyst_rec_rank,Sellside,1.3223013877868652
2018-11-27,2018-11-27,LNG,0.0040532186464983,2.5496738312102325,7,analyst_rec_level,Sellside,1.1258426904678345
2018-11-27,2018-11-27,LNG,0.0040532186464983,2.5496738312102325,8,tg_mom_252d,Sellside,1.105674147605896
2018-11-27,2018-11-27,TSLA,0.0029806613904846003,1.9243309336817693,1,best_eps_chg_vol,Accounting,5.0
2018-11-27,2018-11-27,TSLA,0.0029806613904846003,1.9243309336817693,2,max_ret_63d,Price,4.461895942687988
2018-11-27,2018-11-27,TSLA,0.0029806613904846003,1.9243309336817693,3,regime_avg_rec,Conditioning,4.2456769943237305
2018-11-27,2018-11-27,TSLA,0.0029806613904846003,1.9243309336817693,4,fwd_eps_chg_252d,Accounting,3.589397668838501
2018-11-27,2018-11-27,TSLA,0.0029806613904846003,1.9243309336817693,5,idio_vol_63d,Price,2.725032329559326
2018-11-27,2018-11-27,TSLA,0.0029806613904846003,1.9243309336817693,6,best_roe_chg_vol,Accounting,2.457080125808716
2018-11-27,2018-11-27,TSLA,0.0029806613904846003,1.9243309336817693,7,ma_cross_21_50,Price,2.4483273029327393
2018-11-27,2018-11-27,TSLA,0.0029806613904846003,1.9243309336817693,8,realized_vol_126d,Price,2.208897113800049
2018-12-26,2018-12-26,FN,0.0107373930571211,3.038970344885879,1,dist_52w_low,Price,5.0
2018-12-26,2018-12-26,FN,0.0107373930571211,3.038970344885879,2,regime_avg_rec,Conditioning,4.232969284057617
2018-12-26,2018-12-26,FN,0.0107373930571211,3.038970344885879,3,range_position_52w,Price,2.548466682434082
2018-12-26,2018-12-26,FN,0.0107373930571211,3.038970344885879,4,ma_cross_50_200,Price,2.299548625946045
2018-12-26,2018-12-26,FN,0.0107373930571211,3.038970344885879,5,sales_rev_ma_10d,Sellside,2.203749418258667
2018-12-26,2018-12-26,FN,0.0107373930571211,3.038970344885879,6,max_ret_63d,Price,1.6800283193588257
2018-12-26,2018-12-26,FN,0.0107373930571211,3.038970344885879,7,eps_rev_time_high,Sellside,1.6645927429199219
2018-12-26,2018-12-26,FN,0.0107373930571211,3.038970344885879,8,best_capex_chg_vol,Accounting,1.500065803527832
2018-12-26,2018-12-26,LNG,0.0079470417466336,2.0281513592940104,1,fwd_eps_chg_252d,Accounting,5.0
2018-12-26,2018-12-26,LNG,0.0079470417466336,2.0281513592940104,2,regime_avg_rec,Conditioning,4.232969284057617
2018-12-26,2018-12-26,LNG,0.0079470417466336,2.0281513592940104,3,best_capex_chg_vol,Accounting,2.358595609664917
2018-12-26,2018-12-26,LNG,0.0079470417466336,2.0281513592940104,4,capex_intensity_z,Accounting,1.5195848941802979
