,IC
2018-11-27,0.18274769585253456
2018-12-26,0.0017761136712749616
2019-01-24,0.021073348694316436
2019-02-22,-0.05241935483870968
2019-03-25,0.1769393241167435
2019-04-23,0.009216589861751154
2019-05-22,-0.10104646697388635
2019-06-20,0.2198060675883257
2019-07-19,-0.018913210445468513
2019-08-19,0.15865015360983103
2019-09-17,-0.015529180218814817
2019-10-16,-0.05851574500768049
2019-11-14,0.1844278033794163
2019-12-13,0.16570660522273425
2020-01-13,0.011808755760368665
2020-02-11,-0.11923963133640554
2020-03-11,0.008832565284178188
2020-04-09,-0.24683179723502308
2020-05-08,0.20036482334869435
2020-06-08,-0.332997311827957
2020-07-07,-0.09082181259600615
2020-08-05,0.22331029185867898
2020-09-03,0.12423195084485408
2020-10-02,-0.07165750915750914
2020-11-02,-0.11053113553113553
2020-12-01,-0.11657509157509158
2020-12-30,0.09276556776556776
2021-01-28,-0.24867216117216118
2021-02-26,0.033836996336996335
2021-03-29,0.13617216117216116
2021-04-27,0.20632104306575028
2021-05-26,0.16593406593406593
2021-06-24,0.13507326007326004
2021-07-23,0.053113553113553105
2021-08-23,-0.03914835164835165
2021-09-21,-0.09848901098901097
2021-10-20,0.1578296703296703
2021-11-18,0.29986263736263735
2021-12-17,0.13763736263736262
2022-01-17,0.10966117216117215
2022-02-15,0.03418079419631216
2022-03-16,0.2549908424908425
2022-04-14,-0.028846153846153844
2022-05-13,0.060897435897435896
2022-06-13,-0.05068681318681318
2022-07-12,-0.040430402930402926
2022-08-10,0.026236263736263733
2022-09-08,0.202014652014652
2022-10-07,0.08434065934065933
2022-11-07,0.04184981684981685
2022-12-06,-0.10563186813186813
2023-01-04,0.15416666666666665
2023-02-02,-0.0206043956043956
2023-03-03,0.1596794515329375
2023-04-03,0.05540293040293039
2023-05-02,-0.05764652014652015
2023-05-31,0.19354395604395602
2023-06-29,0.09290293040293038
2023-07-28,0.007371794871794872
2023-08-28,-0.01923076923076923
2023-09-26,0.0028846153846153843
2023-10-25,0.1739468864468864
2023-11-23,0.12747252747252746
2023-12-22,-0.05613553113553113
2024-01-22,0.08914937213693204
2024-02-20,0.26857745518748916
2024-03-20,-0.14436813186813185
2024-04-18,0.05297202797202797
2024-05-17,-0.03811188811188811
2024-06-17,0.06057692307692308
2024-07-16,-0.04536713286713286
2024-08-14,0.09296328671328671
2024-09-12,-0.11044580419580419
2024-10-11,-0.05292832167832168
2024-11-11,-0.044274475524475526
2024-12-10,0.12482517482517483
2025-01-08,-0.04270104895104895
2025-02-06,0.27867132867132866
2025-03-07,0.17766608391608393
2025-04-07,0.18378496503496505
2025-05-06,-0.050043706293706296
2025-06-04,-0.041171328671328666
2025-07-03,0.16346153846153846
2025-08-01,0.024562937062937062
2025-09-01,-0.18142482517482517
2025-09-30,-0.27045454545454545
2025-10-29,0.16097027972027972
2025-11-27,0.08404720279720279
2025-12-26,-0.04073426573426574
2026-01-26,0.026660839160839157
2026-02-24,0.2882867132867133
2026-03-25,-0.023645104895104897
2026-04-23,-0.13505244755244755
