date,signal_date,signal_lag_days,confidence,trailing_ic_mean,matured_ic_count,dynamic_l1_limit,dynamic_active_share_limit,dynamic_turnover_limit,enforce_alpha_directionality,negative_signal_ow_before,negative_signal_ow_after,target_turnover,candidate_turnover,executed_turnover,projection_turnover_before_cap,turnover_cap_scale,signal_scale,ema_alpha,projection_status,constraint_violation,turnover_excess,fallback_used,weight_sum,min_weight,max_weight_actual,active_l1,allocated_active_budget,raw_target_active_share,target_active_share,executed_active_share,tradable_name_count,non_tradable_portfolio_weight,non_tradable_benchmark_weight,tradable_weight_sum_error,tradable_benchmark_sum_error
2018-11-27,2018-11-26,1,0.25,0.0,0,0.21,0.105,0.0475,1,0,0,0.21021326597249276,0.0381527605594492,0.038837865845203545,0.03883701608396125,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.0826570987858239,0.0406572597117307,0.105,0.10500000000000001,0.10500000000000001,0.02032862985586535,63,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16
2018-12-26,2018-12-25,1,1.0,0.2857747223691168,1,0.36,0.18,0.1,1,0,0,0.32361349224123725,0.08040810209220926,0.08078670081485971,0.08078669881388315,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.08300220467229324,0.11795982120872693,0.18,0.18,0.18000000000000005,0.058979910604363465,63,0.0,0.0,0.0,2.220446049250313e-16
2019-01-24,2019-01-23,1,1.0,0.1466419883659439,2,0.36,0.18,0.1,1,0,0,0.2594504731398256,0.06657474754696517,0.06915195912975083,0.06909223738744456,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.08519762646087252,0.1741275041433173,0.18,0.18,0.18,0.08706375207165865,63,0.0,0.0,0.0,0.0
2019-02-22,2019-02-21,1,1.0,0.06292966684294021,3,0.36,0.18,0.1,1,0,0,0.2581750813862098,0.06206002864023258,0.06691113982037226,0.06689379512471474,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.08093852044623207,0.20494141836075636,0.18,0.18,0.17999999999999997,0.10247070918037818,63,0.0,0.0,0.0,0.0
2019-03-25,2019-03-22,1,1.0,0.05593601269169749,4,0.36,0.18,0.1,1,0,0,0.29736077789038146,0.07584171566329914,0.08758626789532703,0.08736769615767212,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.08533613093034471,0.19901007127083475,0.18,0.18,0.17999999999999997,0.09950503563541738,63,0.0,0.0,0.0,1.1102230246251565e-16
2019-04-23,2019-04-22,1,0.581306187202538,0.013252247488101521,5,0.27626123744050757,0.13813061872025378,0.07069143310417766,1,0,0,0.18840954862529183,0.03288465266723072,0.054753049063564714,0.054666179112995886,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.0864973708314113,0.19126502746036012,0.13813061872025378,0.1381306187202538,0.1381306187202538,0.09563251373018006,63,0.0,0.0,0.0,1.1102230246251565e-16
2019-05-22,2019-05-21,1,1.0,0.03949409483518419,6,0.36,0.18,0.1,1,0,0,0.3024271005085095,0.07677555753797975,0.07989504934793627,0.07985941771504325,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.08869520485598247,0.20482980288536357,0.18,0.17999999999999997,0.17999999999999997,0.10241490144268178,63,0.0,0.0,0.0,0.0
2019-06-20,2019-06-19,1,0.3337299488806628,0.003349197955226512,6,0.22674598977613256,0.11337299488806628,0.053361096421646395,1,0,0,0.19833534904248712,0.03455907672293228,0.05336526576128503,0.05358003984199663,0.9959137129984248,,0.8,projected|turnover_capped,hard_rule_turnover_override,4.169339638634972e-06,0,0.9999999999999999,0.0,0.09379149856100312,0.16393991845321793,0.11337299488806628,0.11337299488806624,0.11337299488806624,0.08196995922660896,63,0.0,0.0,1.1102230246251565e-16,0.0
2019-07-19,2019-07-18,1,0.2,-0.02218402961396086,6,0.2,0.1,0.044,1,0,0,0.2136001198999298,0.03567975193050787,0.043756239587111154,0.0438604968246386,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.09241082118008632,0.14195790627306534,0.1,0.1,0.09999999999999999,0.07097895313653267,63,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16
2019-08-19,2019-08-16,1,1.0,0.03674422704036666,6,0.36,0.18,0.1,1,0,0,0.32667025099156927,0.08885439339354478,0.09064969861256816,0.09064603880616408,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.0978004474780991,0.18424275329825526,0.18,0.17999999999999997,0.17999999999999997,0.09212137664912763,63,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
