date,fund_daily_return,bm_daily_return,active_daily_return,fund_cumulative,bm_cumulative,is_rebalance,turnover
2018-11-26,0.021037295537163322,0.021082296989061437,-4.5001451898115524e-05,1.0210372955371634,1.0210822969890614,1,0.04500145189811462
2018-11-27,0.003144819500031886,0.003303121056963048,-0.0001583015569311618,1.0242482735344285,1.0244550554251382,0,0.0
2018-11-28,0.030067063253944776,0.02983571045895333,0.00023135279499144484,1.055044411162532,1.0550203998370136,0,0.0
2018-11-29,-0.003212365712384018,-0.003346795681194513,0.00013442996881049508,1.051655222671071,1.051489462119267,0,0.0
2018-11-30,0.009217323699519813,0.00896632429876919,0.00025099940075062367,1.0613486692787208,1.0609174576333666,0,0.0
2018-12-03,0.017292342654601413,0.016980743574183305,0.0003115990804181089,1.0797018741438937,1.0789326249348135,0,0.0
2018-12-04,-0.036473519725818866,-0.03616647142231909,-0.00030704830349977813,1.0403213465393029,1.0399114389885007,0,0.0
2018-12-05,-0.00039454078163489887,-0.00043883741516130597,4.42966335264071e-05,1.0399108973420879,1.0394550869406183,0,0.0
2018-12-06,0.000969783445524884,0.0007390637065200371,0.0002307197390048469,1.040919385715151,1.0402233104699339,0,0.0
2018-12-07,-0.026576913431029137,-0.026398936468634938,-0.00017797696239419888,1.0132549613123194,1.012762521383645,0,0.0
2018-12-10,0.005645954294853769,0.005126240765157772,0.0005197135296959969,1.0189757525129226,1.0179541859061858,1,0.08089953612588535
2018-12-11,0.0001538291041066279,0.0005912516732145476,-0.00043742256910791967,1.019132500640038,1.0185560530218585,0,0.0
2018-12-12,0.007184038381505741,0.0071600893442391135,2.3949037266627823e-05,1.0264539876404761,1.0258490053636107,0,0.0
2018-12-13,0.0016173069294507165,0.0017331132988290057,-0.00011580636937828922,1.0281140787874494,1.027626917917397,0,0.0
2018-12-14,-0.023789221909785326,-0.02423771348051655,0.00044849157073122495,1.0036560448186003,1.0027195911160487,0,0.0
2018-12-17,-0.023084605328870286,-0.02182647724610438,-0.001258128082765906,0.980487041138028,0.9808337547763312,0,0.0
2018-12-18,0.00544681845275662,0.006273788950505456,-0.0008269704977488359,0.9858275760463873,0.9869872987493298,0,0.0
2018-12-19,-0.0188762502141461,-0.018269399761748358,-0.0006068504523977433,0.9672188480529306,0.9689556332287101,0,0.0
2018-12-20,-0.01621847136846961,-0.014976023688875136,-0.0012424476795944751,0.9515320368587399,0.954444530712008,0,0.0
2018-12-21,-0.026051513745245697,-0.02596900540118964,-8.250834405605645e-05,0.9267431869214727,0.9296585555388119,0,0.0
2018-12-24,-0.02601392216970483,-0.025036166485160573,-0.000977755684544255,0.9026349617855933,0.9063834691679883,1,0.05257758889528589
2018-12-25,0.0,0.0,0.0,0.9026349617855933,0.9063834691679883,0,0.0
2018-12-26,0.059620503740023395,0.05681276849294272,0.002807735247080674,0.9564505129006072,0.9578776233676595,0,0.0
2018-12-27,0.005657559117381483,0.006563135536097176,-0.0009055764187156923,0.9618616882201922,0.964164304036816,0,0.0
2018-12-28,0.0006534242898161446,-0.00017486585543296666,0.0008282901452491113,0.962490192010719,0.9639957046210127,0,0.0
2018-12-31,0.007760666262430462,0.007895189815548365,-0.00013452355311790315,0.9699597571717768,0.9716066336903689,0,0.0
2019-01-01,0.0,0.0,0.0,0.9699597571717768,0.9716066336903689,0,0.0
2019-01-02,0.00369706989717655,0.003862903811762274,-0.0001658339145857242,0.9735457661914892,0.975359856659185,0,0.0
2019-01-03,-0.03214579772513767,-0.032310580370828575,0.00016478264569090573,0.9422503609153334,0.9438454136201185,0,0.0
2019-01-04,0.040837760301326145,0.03827852679269392,0.0025592335086322276,0.9807297552982318,0.9799744255735375,0,0.0
2019-01-07,0.01134491308678004,0.008981055149728582,0.0023638579370514577,0.9918560491337093,0.9887756299349372,1,0.08470352418943233
