,IC
2018-11-27,0.28931451612903225
2018-12-26,-0.023233486943164364
2019-01-24,-0.12168778801843318
2019-02-22,-0.04310675883256529
2019-03-25,-0.11770353302611368
2019-04-23,0.18898809523809526
2019-05-22,0.04963517665130568
2019-06-20,-0.045218894009216595
2019-07-19,0.11544738863287252
2019-08-19,-0.14919354838709678
2019-09-17,0.2509120583717358
2019-10-16,-0.16671466973886329
2019-11-14,0.3227726574500768
2019-12-13,0.23593509984639016
2020-01-13,0.3082757296466974
2020-02-11,0.15077764976958527
2020-03-11,0.3178763440860215
2020-04-09,0.1366647465437788
2020-05-08,-0.2604646697388633
2020-06-08,0.24654377880184336
2020-07-07,-0.17199500768049156
2020-08-05,0.22494239631336407
2020-09-03,-0.027169738863287253
2020-10-02,0.049496336996336994
2020-11-02,-0.2638736263736264
2020-12-01,-0.1461080586080586
2020-12-30,0.1301282051282051
2021-01-28,-0.139010989010989
2021-02-26,-0.16126373626373627
2021-03-29,-0.1528388278388278
2021-04-27,0.022939560439560434
2021-05-26,0.036217948717948714
2021-06-24,0.08017399267399267
2021-07-23,-0.04729853479853479
2021-08-23,0.0663003663003663
2021-09-21,-0.03736263736263736
2021-10-20,0.03713369963369963
2021-11-18,0.11877289377289375
2021-12-17,0.21726190476190474
2022-01-17,0.07426739926739925
2022-02-15,0.0004578754578754579
2022-03-16,0.1211080586080586
2022-04-14,0.09391025641025641
2022-05-13,0.003525641025641025
2022-06-13,-0.211996336996337
2022-07-12,0.06987179487179486
2022-08-10,0.06735347985347985
2022-09-08,0.10247252747252744
2022-10-07,-0.062316849816849804
2022-11-07,-0.028342490842490835
2022-12-06,0.055769230769230765
2023-01-04,0.19638278388278385
2023-02-02,-0.05833333333333332
2023-03-03,-0.09244505494505492
2023-04-03,-0.08264652014652014
2023-05-02,0.07907509157509156
2023-05-31,0.2332875457875458
2023-06-29,0.06597985347985348
2023-07-28,0.052472527472527467
2023-08-28,0.050412087912087906
2023-09-26,0.21900183150183147
2023-10-25,-0.15599816849816847
2023-11-23,0.1372252747252747
2023-12-22,-0.17696886446886445
2024-01-22,0.07628205128205127
2024-02-20,0.3071428571428571
2024-03-20,0.10192307692307691
2024-04-18,-0.04615384615384615
2024-05-17,0.09619755244755245
2024-06-17,-0.06219405594405594
2024-07-16,-0.24003496503496505
2024-08-14,-0.015734265734265736
2024-09-12,-0.14484265734265733
2024-10-11,-0.03365384615384615
2024-11-11,0.06542832167832167
2024-12-10,0.3562062937062937
2025-01-08,0.011407342657342657
2025-02-06,-0.04178321678321679
2025-03-07,0.1291958041958042
2025-04-07,0.058129370629370625
2025-05-06,0.1692744755244755
2025-06-04,-0.19077797202797203
2025-07-03,0.07268356643356642
2025-08-01,-0.15148601398601397
2025-09-01,-0.34689685314685315
2025-09-30,-0.21437937062937062
2025-10-29,0.048994755244755245
2025-11-27,0.30445804195804194
2025-12-26,-0.11993006993006992
2026-01-26,-0.221284965034965
2026-02-24,0.2541083916083916
2026-03-25,-0.09191433566433567
2026-04-23,-0.14536713286713285
