date,signal_date,target_end_idx,target_end_date,final_ic,base_ic
2018-11-27,2018-11-26,1280,2018-12-24,0.2857747223691168,0.19333685880486512
2018-12-26,2018-12-25,1301,2019-01-22,0.00750925436277102,-0.07540983606557376
2019-01-24,2019-01-23,1322,2019-02-20,-0.10449497620306714,0.17837123215230036
2019-02-22,2019-02-21,1343,2019-03-21,0.034955050237969326,-0.06382866208355366
2019-03-25,2019-03-22,1364,2019-04-19,-0.15748281332628236,0.16303543098889473
2019-04-23,2019-04-22,1385,2019-05-20,0.17070333157059756,-0.0744050766790058
2019-05-22,2019-05-21,1406,2019-06-18,0.06890534108937069,-0.009624537281861446
2019-06-20,2019-06-19,1427,2019-07-17,-0.14569011105235322,-0.06567953463775779
2019-07-19,2019-07-18,1448,2019-08-15,0.24907456372289796,0.18269497116667927
2019-08-19,2019-08-16,1469,2019-09-13,-0.17041090629800307,-0.02481758832565284
2019-09-17,2019-09-16,1490,2019-10-14,0.28331413210445466,-0.06864439324116743
2019-10-16,2019-10-15,1511,2019-11-12,-0.10618279569892473,0.11501536098310293
2019-11-14,2019-11-13,1532,2019-12-11,0.35143049155145933,0.1077188940092166
2019-12-13,2019-12-12,1553,2020-01-09,0.2466397849462366,0.2961309523809524
2020-01-13,2020-01-10,1574,2020-02-07,0.3500384024577573,0.16546658986175114
2020-02-11,2020-02-10,1595,2020-03-09,0.14132104454685102,-0.033890168970814136
2020-03-11,2020-03-10,1616,2020-04-07,0.22580645161290325,0.051315284178187405
2020-04-09,2020-04-08,1637,2020-05-06,0.19119623655913978,0.06283602150537636
2020-05-08,2020-05-07,1658,2020-06-04,-0.36011904761904767,0.21169354838709678
2020-06-08,2020-06-05,1679,2020-07-03,0.4477726574500768,-0.16112424545425633
2020-07-07,2020-07-06,1700,2020-08-03,-0.05054723502304148,0.09168586789554532
2020-08-05,2020-08-04,1721,2020-09-01,-0.14453725038402457,-0.22321428571428573
2020-09-03,2020-09-02,1742,2020-09-30,0.014544930875576038,0.06158794162826421
2020-10-02,2020-10-01,1763,2020-10-29,0.11645545314900155,-0.00494431643625192
2020-11-02,2020-10-30,1784,2020-11-27,-0.21092549923195086,0.03816244239631337
2020-12-01,2020-11-30,1805,2020-12-28,-0.24236751152073732,-0.19854070660522272
2020-12-30,2020-12-29,1826,2021-01-26,0.11832757296466975,0.08654953917050691
2021-01-28,2021-01-27,1847,2021-02-24,-0.15591397849462366,-0.17386712749615976
2021-02-26,2021-02-25,1868,2021-03-25,-0.051603302611367134,0.12149577572964669
2021-03-29,2021-03-26,1889,2021-04-23,-0.14194508448540707,0.21966205837173577
2021-04-27,2021-04-26,1910,2021-05-24,-0.08083717357910906,0.11309523809523811
2021-05-26,2021-05-25,1931,2021-06-22,-0.03835445468509985,0.036290322580645164
2021-06-24,2021-06-23,1952,2021-07-21,0.022513440860215055,0.1620103686635945
2021-07-23,2021-07-22,1973,2021-08-19,0.1697388632872504,0.191676267281106
2021-08-23,2021-08-20,1994,2021-09-17,0.10925499231950847,-0.036770353302611365
2021-09-21,2021-09-20,2015,2021-10-18,0.10709706959706959,0.04267399267399267
2021-10-20,2021-10-19,2036,2021-11-16,-0.06735347985347985,-0.10899888803772174
2021-11-18,2021-11-17,2057,2021-12-15,-0.13136446886446887,0.21293077569927704
2021-12-17,2021-12-16,2078,2022-01-13,0.10911172161172158,0.13930101590899577
2022-01-17,2022-01-14,2099,2022-02-11,0.13040293040293038,0.179532967032967
2022-02-15,2022-02-14,2120,2022-03-14,0.049496336996336994,0.04665750915750915
2022-03-16,2022-03-15,2141,2022-04-12,0.05947802197802196,0.08347069597069597
2022-04-14,2022-04-13,2162,2022-05-11,0.17298534798534798,0.12426739926739924
2022-05-13,2022-05-12,2183,2022-06-09,-0.008012820512820512,0.028983516483516485
2022-06-13,2022-06-10,2204,2022-07-08,-0.11909340659340659,0.179532967032967
2022-07-12,2022-07-11,2225,2022-08-08,0.03502747252747252,-0.04466320512144102
2022-08-10,2022-08-09,2246,2022-09-06,0.0482142857142857,-0.03218560739171006
2022-09-08,2022-09-07,2267,2022-10-05,0.05961538461538461,0.16209212477619725
2022-10-07,2022-10-06,2288,2022-11-03,-0.029120879120879118,0.10068681318681319
2022-11-07,2022-11-04,2309,2022-12-02,-0.1229395604395604,-0.05380036630036629
2022-12-06,2022-12-05,2330,2023-01-02,0.09130036630036628,-0.01259157509157509
2023-01-04,2023-01-03,2351,2023-01-31,0.29070512820512817,0.24455128205128202
2023-02-02,2023-02-01,2372,2023-03-01,0.08525641025641024,0.004945054945054945
2023-03-03,2023-03-02,2393,2023-03-30,-0.06043956043956044,0.04601648351648351
2023-04-03,2023-03-31,2414,2023-04-28,-0.03337912087912088,0.1590201465201465
2023-05-02,2023-05-01,2435,2023-05-29,0.10819597069597069,-0.047344322344322336
2023-05-31,2023-05-30,2456,2023-06-27,0.302014652014652,0.29308608058608054
2023-06-29,2023-06-28,2477,2023-07-26,0.17756410256410252,0.1526574251178898
2023-07-28,2023-07-27,2498,2023-08-24,0.02628205128205128,-0.07756410256410255
2023-08-28,2023-08-25,2519,2023-09-22,0.007783882783882783,-0.10529087207136793
2023-09-26,2023-09-25,2540,2023-10-23,0.22467948717948716,-0.1107752269645046
2023-10-25,2023-10-24,2561,2023-11-21,-0.27536630036630033,0.15132882909779957
2023-11-23,2023-11-22,2582,2023-12-20,0.15755494505494502,0.20102598019430315
2023-12-22,2023-12-21,2603,2024-01-18,-0.06295787545787544,0.008424908424908423
2024-01-22,2024-01-19,2624,2024-02-16,0.11556776556776557,0.09757326007326006
2024-02-20,2024-02-19,2645,2024-03-18,0.21767399267399265,-0.03887362637362637
2024-03-20,2024-03-19,2666,2024-04-16,0.08159340659340658,-0.1629120879120879
2024-04-18,2024-04-17,2687,2024-05-15,-0.048534798534798536,0.046932234432234425
2024-05-17,2024-05-16,2708,2024-06-13,0.1564102564102564,0.021428571428571425
2024-06-17,2024-06-14,2729,2024-07-12,-0.08841575091575091,0.08290879182846518
2024-07-16,2024-07-15,2750,2024-08-12,-0.12216117216117216,0.04823773166217664
2024-08-14,2024-08-13,2771,2024-09-10,-0.1554029304029304,0.009249084249084247
2024-09-12,2024-09-11,2792,2024-10-09,-0.0907051282051282,-0.09445970695970696
2024-10-11,2024-10-10,2813,2024-11-07,-0.04592490842490842,-0.05434981684981685
2024-11-11,2024-11-08,2834,2024-12-06,-0.016849816849816845,-0.18081501831501828
2024-12-10,2024-12-09,2855,2025-01-06,0.4568681318681318,0.19537545787545782
2025-01-08,2025-01-07,2876,2025-02-04,0.10137362637362636,-0.042170329670329666
2025-02-06,2025-02-05,2897,2025-03-05,0.02138278388278388,0.3244505494505494
2025-03-07,2025-03-06,2918,2025-04-03,0.1114010989010989,0.1628205128205128
2025-04-07,2025-04-04,2939,2025-05-02,0.005987762237762238,0.010708041958041958
2025-05-06,2025-05-05,2960,2025-06-02,0.1255681818181818,0.09471153846153846
2025-06-04,2025-06-03,2981,2025-07-01,-0.1493444055944056,-0.017679388980393018
2025-07-03,2025-07-02,3002,2025-07-30,-0.012980769230769231,-0.03955506021618065
2025-08-01,2025-07-31,3023,2025-08-28,-0.16529720279720278,0.05961929335103473
2025-09-01,2025-08-29,3044,2025-09-26,-0.2805506993006993,-0.10266608391608391
2025-09-30,2025-09-29,3065,2025-10-27,-0.03706293706293706,0.05773601398601399
2025-10-29,2025-10-28,3086,2025-11-25,0.09208916083916084,0.05450174825174825
2025-11-27,2025-11-26,3107,2025-12-24,0.33767482517482517,0.22583041958041955
2025-12-26,2025-12-25,3128,2026-01-22,-0.1367132867132867,-0.0022727272727272726
2026-01-26,2026-01-23,3149,2026-02-20,-0.2716346153846154,-0.08015734265734266
2026-02-24,2026-02-23,3170,2026-03-23,0.18802447552447552,0.20314685314685313
2026-03-25,2026-03-24,3191,2026-04-21,-0.07652972027972028,-0.07652972027972028
2026-04-23,2026-04-22,3212,2026-05-20,0.002054195804195804,0.036057692307692304
