date,n_names,base_ic,rl_ic,delta_ic,base_proxy_active_return,rl_proxy_active_return,delta_proxy_active_return,base_turnover_proxy,rl_turnover_proxy
2018-11-26,63,0.26128072196620583,0.26128072196620583,0.0,0.01553049505768958,0.01553049505768958,0.0,0.0,0.0
2018-11-27,63,0.24875192012288785,0.24875192012288785,0.0,0.015646647352710492,0.015646647352710492,0.0,0.02905653247122777,0.02905653247122777
2018-11-28,63,0.30693164362519204,0.30693164362519204,0.0,0.02059202083467643,0.02059202083467643,0.0,0.03916308113854758,0.03916308113854758
2018-11-29,63,0.2866743471582181,0.2866743471582181,0.0,0.016539794023041763,0.016539794023041763,0.0,0.07519460795778349,0.07519460795778349
2018-11-30,63,0.2849462365591398,0.2849462365591398,0.0,0.01709727781419617,0.01709727781419617,0.0,0.06577991187123611,0.06577991187123611
2018-12-03,63,0.34331797235023037,0.34331797235023037,0.0,0.02068102280407958,0.02068102280407958,0.0,0.085435679356398,0.085435679356398
2018-12-04,63,0.320468509984639,0.320468509984639,0.0,0.015782517826023336,0.015782517826023336,0.0,0.04851390748187557,0.04851390748187557
2018-12-05,63,0.25772849462365593,0.25772849462365593,0.0,0.010574542575742335,0.010574542575742335,0.0,0.018049481527897673,0.018049481527897673
2018-12-06,63,0.21505376344086022,0.21505376344086022,0.0,0.012411327533060033,0.012411327533060033,0.0,0.08183666255283768,0.08183666255283768
2018-12-07,63,0.24894393241167434,0.24894393241167434,0.0,0.013115286723636741,0.013115286723636741,0.0,0.06434758477373709,0.06434758477373709
2018-12-10,63,0.17597926267281105,0.17597926267281105,0.0,0.013532233914506813,0.013532233914506813,0.0,0.07138349284592636,0.07138349284592636
2018-12-11,63,0.17357910906298005,0.17357910906298005,0.0,0.014695749016851962,0.014695749016851962,0.0,0.06236420573453596,0.06236420573453596
2018-12-12,63,0.14189708141321045,0.14189708141321045,0.0,0.010572844814078582,0.010572844814078582,0.0,0.05710369416412031,0.05710369416412031
2018-12-13,63,0.015985023041474655,0.015985023041474655,0.0,0.011814221427641521,0.011814221427641521,0.0,0.21913684540739747,0.21913684540739747
2018-12-14,63,-0.06523617511520738,-0.06523617511520738,0.0,0.007328489775167116,0.007328489775167116,0.0,0.06013920839775038,0.06013920839775038
2018-12-17,63,0.09639016897081412,0.09639016897081412,0.0,0.011159654128694931,0.011159654128694931,0.0,0.04292733913416795,0.04292733913416795
2018-12-18,63,0.16522657450076805,0.16522657450076805,0.0,0.014960925336275539,0.014960925336275539,0.0,0.0477708199866044,0.0477708199866044
2018-12-19,63,0.08990975422427036,0.08990975422427036,0.0,0.006655994421681945,0.006655994421681945,0.0,0.10731695701996156,0.10731695701996156
2018-12-20,63,0.07776497695852536,0.07776497695852536,0.0,0.006860369774499168,0.006860369774499168,0.0,0.09596726522526795,0.09596726522526795
2018-12-21,63,-0.003552227342549923,-0.003552227342549923,0.0,-0.0022396803184102183,-0.0022396803184102183,0.0,0.062216195892204264,0.062216195892204264
2018-12-24,63,-0.0720526113671275,-0.0720526113671275,0.0,-0.0025558640313851854,-0.0025558640313851854,0.0,0.03882192512794519,0.03882192512794519
2018-12-25,63,-0.043730798771121356,-0.043730798771121356,0.0,-0.0004837459556848098,-0.0004837459556848098,0.0,0.032267978624760704,0.032267978624760704
2018-12-26,63,-0.15380184331797236,-0.15380184331797236,0.0,-0.012301622338976153,-0.012301622338976153,0.0,0.047070612158318356,0.047070612158318356
2018-12-27,63,-0.1254320276497696,-0.1254320276497696,0.0,-0.007551125617343689,-0.007551125617343689,0.0,0.11887409679320535,0.11887409679320535
2018-12-28,63,-0.1879800307219662,-0.1879800307219662,0.0,-0.020295340849824366,-0.020295340849824366,0.0,0.11369562021236766,0.11369562021236766
2018-12-31,63,-0.12442396313364056,-0.12442396313364056,0.0,-0.020474024481541123,-0.020474024481541123,0.0,0.19943569821084273,0.19943569821084273
2019-01-01,63,-0.17732334869431643,-0.17732334869431643,0.0,-0.02286152956595156,-0.02286152956595156,0.0,0.12469704141124757,0.12469704141124757
2019-01-02,63,-0.1732430875576037,-0.1732430875576037,0.0,-0.021322881887755257,-0.021322881887755257,0.0,0.050351662791773784,0.050351662791773784
2019-01-03,63,-0.16829877112135178,-0.16829877112135178,0.0,-0.024605608061661576,-0.024605608061661576,0.0,0.060229850625302644,0.060229850625302644
2019-01-04,63,-0.19254032258064516,-0.19254032258064516,0.0,-0.027801072623593215,-0.027801072623593215,0.0,0.045617522135267846,0.045617522135267846
2019-01-07,63,-0.19306835637480801,-0.19306835637480801,0.0,-0.027333141416343697,-0.027333141416343697,0.0,0.15762205138356575,0.15762205138356575
2019-01-08,63,-0.22815860215053763,-0.22815860215053763,0.0,-0.03448087647787002,-0.03448087647787002,0.0,0.047005735828012145,0.047005735828012145
2019-01-09,63,-0.27496159754224275,-0.27496159754224275,0.0,-0.03467890078707865,-0.03467890078707865,0.0,0.09460279743550618,0.09460279743550618
2019-01-10,63,-0.26876920122887865,-0.26876920122887865,0.0,-0.035146598248078906,-0.035146598248078906,0.0,0.049971639114859724,0.049971639114859724
2019-01-11,63,-0.221150153609831,-0.221150153609831,0.0,-0.031445619533298684,-0.031445619533298684,0.0,0.08606758334926937,0.08606758334926937
2019-01-14,63,-0.2296947004608295,-0.2296947004608295,0.0,-0.027063350000040922,-0.027063350000040922,0.0,0.11643650905676826,0.11643650905676826
2019-01-15,63,-0.3030913978494624,-0.3030913978494624,0.0,-0.035975471367014324,-0.035975471367014324,0.0,0.1271155466207489,0.1271155466207489
2019-01-16,63,-0.2847542242703533,-0.2847542242703533,0.0,-0.03867179520058137,-0.03867179520058137,0.0,0.10110163885886136,0.10110163885886136
2019-01-17,63,-0.2157258064516129,-0.2157258064516129,0.0,-0.031512843616578315,-0.031512843616578315,0.0,0.09425566700435357,0.09425566700435357
2019-01-18,63,-0.12303187403993855,-0.12303187403993855,0.0,-0.012923739896894649,-0.012923739896894649,0.0,0.16281152075446448,0.16281152075446448
2019-01-21,63,-0.09730222734254994,-0.09730222734254994,0.0,-0.009521883524503102,-0.009521883524503102,0.0,0.1026617939799659,0.1026617939799659
2019-01-22,63,-0.11021505376344087,-0.11021505376344087,0.0,-0.010701094348408708,-0.010701094348408708,0.0,0.09160560949019705,0.09160560949019705
2019-01-23,63,-0.1499615975422427,-0.1499615975422427,0.0,-0.013722375322327092,-0.013722375322327092,0.0,0.07718845370709172,0.07718845370709172
2019-01-24,63,-0.14770545314900155,-0.14770545314900155,0.0,-0.015331233063254965,-0.015331233063254965,0.0,0.11267582221253364,0.11267582221253364
2019-01-25,63,-0.11213517665130569,-0.11213517665130569,0.0,-0.009804396661078175,-0.009804396661078175,0.0,0.09362434012195114,0.09362434012195114
2019-01-28,63,-0.11808755760368664,-0.11808755760368664,0.0,-0.011277130507535137,-0.011277130507535137,0.0,0.141687826909718,0.141687826909718
2019-01-29,63,-0.1273521505376344,-0.1273521505376344,0.0,-0.012921332682011209,-0.012921332682011209,0.0,0.1998741535158013,0.1998741535158013
2019-01-30,63,0.0018241167434715822,0.0018241167434715822,0.0,-0.005157735616920568,-0.005157735616920568,0.0,0.15945462402127977,0.15945462402127977
